Node A Name,Node B Name,# Connections,# Connections Unique,Type
2c408f1b-9655-4d54-8984-c9062c87b41d,DSCore.String.ToNumber@string,0,0,2c408f1b-9655-4d54-8984-c9062c87b41d
Geometry.Points.NumbersToPoint@double[],DSCore.List.Flatten@var[]..[]_int,0,0,Geometry
DSCore.List.Flatten@var[]..[]_int,Autodesk.DesignScript.Geometry.Geometry.Translate@double_double_double,0,0,DSCore
Autodesk.DesignScript.Geometry.Geometry.Translate@double_double_double,Autodesk.DesignScript.Geometry.Geometry.Rotate@Autodesk.DesignScript.Geometry.Point_Autodesk.DesignScript.Geometry.Vector_double,0,0,Autodesk
Autodesk.DesignScript.Geometry.Geometry.Rotate@Autodesk.DesignScript.Geometry.Point_Autodesk.DesignScript.Geometry.Vector_double,Revit.Elements.FamilyInstance.ByPoint@Revit.Elements.FamilyType_Autodesk.DesignScript.Geometry.Point,0,0,Autodesk
Autodesk.DesignScript.Geometry.Vector.ZAxis,Autodesk.DesignScript.Geometry.Geometry.Rotate@Autodesk.DesignScript.Geometry.Point_Autodesk.DesignScript.Geometry.Vector_double,0,0,Autodesk
Autodesk.DesignScript.Geometry.Point.Origin,Autodesk.DesignScript.Geometry.Geometry.Rotate@Autodesk.DesignScript.Geometry.Point_Autodesk.DesignScript.Geometry.Vector_double,0,0,Autodesk
_All_Family_Types_Of_Category,DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],0,0,_All_Family_Types_Of_Category
DSCore.String.Contains@string_string_bool,DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],0,0,DSCore
DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],_UI.Listview_Data,1,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,b223cace-86e4-435e-8e6c-94a60e29ecb6,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.FamilyInstance.ByPoint@Revit.Elements.FamilyType_Autodesk.DesignScript.Geometry.Point,0,0,DSCore
Revit.Elements.Element.GetParameterValueByName@string,DSCore.List.Flatten@var[]..[]_int,1,0,Revit
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,1,1,DSCore
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,1,1,DSCore
DSCore.List.Flatten@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,1,1,DSCore
_Document.ActiveViewFromCurrentDocument,_Schedule.GetCalculatedValues,1,1,_Document
DSCore.IO.Image.ReadFromFile@var,_UI.MultipleInputForm_++,0,0,DSCore
_UI.MultipleInputForm_++,DSCore.List.GetItemAtIndex@var[]..[]_int,1,1,_UI
Revit.Elements.Views.ScheduleView.Fields,_UI.DropDown_Data,1,1,Revit
_Math.Ceiling+,/@var[]..[]_var[]..[],0,0,_Math
/@var[]..[]_var[]..[],Revit.Elements.Element.SetParameterByName@string_var,0,0,/@var[]
DSCore.String.ToNumber@string,_Math.Ceiling+,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.String.ToNumber@string,0,0,DSCore
Revit.Elements.Element.GetParameterValueByName@string,DSCore.String.Substring@string_int_int,0,0,Revit
DSCore.String.Join@string_string[],DSCore.List.Flatten@var[]..[]_int,0,0,DSCore
DSCore.List.Transpose@var[]..[],DSCore.String.Join@string_string[],0,0,DSCore
DSCore.List.Flatten@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.String.ToNumber@string,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.String.ToNumber@string,_Math.Ceiling+,0,0,DSCore
/@var[]..[]_var[]..[],Revit.Elements.Element.SetParameterByName@string_var,0,0,/@var[]
_Math.Ceiling+,/@var[]..[]_var[]..[],0,0,_Math
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,*@var[]..[]_var[]..[],0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.GetItemAtIndex@var[]..[]_int,1,1,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,1,1,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,*@var[]..[]_var[]..[],0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,*@var[]..[]_var[]..[],0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
*@var[]..[]_var[]..[],Revit.Elements.Element.SetParameterByName@string_var,0,0,*@var[]
*@var[]..[]_var[]..[],Revit.Elements.Element.SetParameterByName@string_var,0,0,*@var[]
*@var[]..[]_var[]..[],Revit.Elements.Element.SetParameterByName@string_var,0,0,*@var[]
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,*@var[]..[]_var[]..[],0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
*@var[]..[]_var[]..[],Revit.Elements.Element.SetParameterByName@string_var,0,0,*@var[]
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,*@var[]..[]_var[]..[],0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
*@var[]..[]_var[]..[],Revit.Elements.Element.SetParameterByName@string_var,0,0,*@var[]
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.GetItemAtIndex@var[]..[]_int,1,1,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,1,1,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,*@var[]..[]_var[]..[],0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
*@var[]..[]_var[]..[],Revit.Elements.Element.SetParameterByName@string_var,0,0,*@var[]
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],Revit.Elements.Element.SetParameterByName@string_var,1,1,DSCore
DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],DSCore.List.FirstIndexOf@var[]..[]_var,1,1,DSCore
DSCore.String.Contains@string_string_bool,DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],1,1,DSCore
Revit.Elements.Element.GetParameterValueByName@string,DSCore.String.Contains@string_string_bool,0,0,Revit
Revit.Elements.Element.GetParameterValueByName@string,DSCore.List.FilterByBoolMask@var[]..[]_var[]..[],0,0,Revit
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,*@var[]..[]_var[]..[],0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
*@var[]..[]_var[]..[],Revit.Elements.Element.SetParameterByName@string_var,0,0,*@var[]
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,*@var[]..[]_var[]..[],0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
*@var[]..[]_var[]..[],Revit.Elements.Element.SetParameterByName@string_var,0,0,*@var[]
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
6cf7f3b9-69ab-40da-b41c-62068370e1b8,DSCore.List.Flatten@var[]..[]_int,0,0,6cf7f3b9-69ab-40da-b41c-62068370e1b8
DSCore.List.Flatten@var[]..[]_int,DSCore.List.FirstIndexOf@var[]..[]_var,0,0,DSCore
DSCore.List.FirstIndexOf@var[]..[]_var,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,Revit.Elements.Element.SetParameterByName@string_var,0,0,DSCore
DSCore.List.GetItemAtIndex@var[]..[]_int,DSCore.List.GetItemAtIndex@var[]..[]_int,0,0,DSCore
